"Years";"Weeks";"Gross margin 1 - Dema MTA";"Compare range: Gross margin 1 - Dema MTA";"Gross margin 2 - Dema MTA";"Compare range: Gross margin 2 - Dema MTA";"Net gross margin 1 - Dema MTA";"Compare range: Net gross margin 1 - Dema MTA";"Net gross margin 2 - Dema MTA";"Compare range: Net gross margin 2 - Dema MTA"
"2022";"Week 17, 2022";"0.7762777384514087";"0";"0.6340111072604386";"0";"0.7762073591990437";"0";"0.6093814355884793";"0"
"2022";"Week 18, 2022";"0.7815409827860994";"0";"0.6347386163711627";"0";"0.782554147510682";"0";"0.6094600807424757";"0"
"2022";"Week 19, 2022";"0.7661997882189604";"0";"0.6143773909562275";"0";"0.7665729623731835";"0";"0.5744798129790964";"0"
"2022";"Week 20, 2022";"0.7741041781056205";"0";"0.6371454970138861";"0";"0.7745763728220986";"0";"0.6032352524472248";"0"
"2022";"Week 21, 2022";"0.7666164385235625";"0";"0.624990363012881";"0";"0.7693486061740564";"0";"0.6037762143112544";"0"
"2022";"Week 22, 2022";"0.7627663526878509";"0";"0.6241311435721747";"0";"0.7613496267384852";"0";"0.5876552099011529";"0"
"2022";"Week 23, 2022";"0.777255230820216";"0";"0.6344575218485545";"0";"0.7784235517237142";"0";"0.6140998775640378";"0"
"2022";"Week 24, 2022";"0.7611865111598022";"0";"0.6218595688229022";"0";"0.7588167086684815";"0";"0.5942045503547442";"0"
"2022";"Week 25, 2022";"0.7832787464934213";"0";"0.6418413741419199";"0";"0.7848558337383615";"0";"0.6167056152463719";"0"
"2022";"Week 26, 2022";"0.7789583941967603";"0";"0.6181037807439527";"0";"0.7789504245955147";"0";"0.5878876900108878";"0"
"2022";"Week 27, 2022";"0.84191702480696";"0";"0.7034561612512795";"0";"0.8376699827930701";"0";"0.6627322900865994";"0"
"2022";"Week 28, 2022";"0.8731996156703963";"0";"0.7228522453597128";"0";"0.8669887324829526";"0";"0.6847008473206342";"0"
"2022";"Week 29, 2022";"0.8726124713953006";"0";"0.7176718636123531";"0";"0.8649553602670648";"0";"0.6729152026013268";"0"
"2022";"Week 30, 2022";"0.8681790476313838";"0";"0.712893715419511";"0";"0.861055685425595";"0";"0.657939246218986";"0"
"2022";"Week 31, 2022";"0.8715264571102451";"0";"0.7203949843706582";"0";"0.861655997058072";"0";"0.6658801233339038";"0"
"2022";"Week 32, 2022";"0.8141481227544137";"0";"0.6656056085016234";"0";"0.8107369560967824";"0";"0.6360082867875138";"0"
"2022";"Week 33, 2022";"0.7956533703012021";"0";"0.6487526070338175";"0";"0.7971313748896697";"0";"0.6119123209137375";"0"
"2022";"Week 34, 2022";"0.7803626921908391";"0";"0.6415214595568189";"0";"0.7806564481296258";"0";"0.6178679227427102";"0"
"2022";"Week 35, 2022";"0.7930109083371111";"0";"0.6459431210839066";"0";"0.7939406854116483";"0";"0.6215638238930109";"0"
"2022";"Week 36, 2022";"0.7977198592362188";"0";"0.6495066959617777";"0";"0.798572301347497";"0";"0.6300781767772775";"0"
"2022";"Week 37, 2022";"0.7880194022246265";"0";"0.6354532910728629";"0";"0.7870135885853722";"0";"0.6009467388948392";"0"
"2022";"Week 38, 2022";"0.7758365807747363";"0";"0.6288711006873104";"0";"0.779625350037877";"0";"0.6066371976158601";"0"
"2022";"Week 39, 2022";"0.7884956962506067";"0";"0.6239985265652123";"0";"0.7871490410089981";"0";"0.6024175868934555";"0"
"2022";"Week 40, 2022";"0.7823729076301158";"0";"0.6195559766611776";"0";"0.7811317033171347";"0";"0.5960613732840618";"0"
"2022";"Week 41, 2022";"0.7707580655778865";"0";"0.6077682223143823";"0";"0.7706790704611914";"0";"0.589668234468461";"0"
"2022";"Week 42, 2022";"0.7946589658190986";"0";"0.640261792538834";"0";"0.793477763803053";"0";"0.6227223995706385";"0"
"2022";"Week 43, 2022";"0.7756788574749383";"0";"0.5905983655834782";"0";"0.7787294473263208";"0";"0.5677425329802867";"0"
"2022";"Week 44, 2022";"0.7698620292180187";"0";"0.5914463176909399";"0";"0.77012142033585";"0";"0.5754476201953049";"0"
"2022";"Week 45, 2022";"0.7579556889071336";"0";"0.6063210491092059";"0";"0.7565904839758677";"0";"0.5859787757013625";"0"
"2022";"Week 46, 2022";"0.7728698330837107";"0";"0.5876064829987567";"0";"0.7749766611539092";"0";"0.5685942797756315";"0"
"2022";"Week 47, 2022";"0.7567629945952287";"0";"0.5880741810882053";"0";"0.7594893166086963";"0";"0.5701910316442773";"0"
"2022";"Week 48, 2022";"0.760655713299944";"0";"0.5813199569474752";"0";"0.7606454822497881";"0";"0.5580475473619249";"0"
"2022";"Week 49, 2022";"0.7669617469957332";"0";"0.5821869584800077";"0";"0.7651722322214765";"0";"0.5516983734777134";"0"
"2022";"Week 50, 2022";"0.7487732169645647";"0";"0.5761702403081763";"0";"0.747151348960187";"0";"0.5415633766981759";"0"
"2022";"Week 51, 2022";"0.7832831463570962";"0";"0.5989614525481445";"0";"0.7838686409227212";"0";"0.5569587666660516";"0"
"2023";"Week 52, 2022";"0.7906957626241778";"0";"0.6081667726110495";"0";"0.797994840112369";"0";"0.5617861501023328";"0"
"2022";"Week 52, 2022";"0.7845699535954169";"0";"0.6012853011852314";"0";"0.787217141777126";"0";"0.5671755160306974";"0"
"2023";"Week 1, 2023";"0.746387782739865";"0";"0.5439271312821236";"0";"0.7468921643533434";"0";"0.5056294483674865";"0"
"2023";"Week 2, 2023";"0.7257029399750792";"0";"0.510914699675973";"0";"0.7264322142266592";"0";"0.4620607105115931";"0"
"2023";"Week 3, 2023";"0.7364214547839674";"0";"0.5151321899237871";"0";"0.7364238468825192";"0";"0.47749847267606715";"0"
